latitude,longitude,city_state,time_updated,AQI,CO,H,NO2,Ozone,pm10,pm25
35.0508,-85.2931,"Chattanooga,TN",2022-11-07 21:00:00,43,na,81,na,na,na,43
47.69983,-117.42631,"Spokane,WA",2022-11-07 20:00:00,35,na,89,na,na,na,35
43.052351,-76.059185,"Syracuse,NY",2022-11-07 21:00:00,23,na,55,na,17.6,na,23
34.66959,-118.13068,"Lancaster,PA",2022-11-07 18:00:00,27,na,62,1.9,27.2,4,9
32.6563574,-97.0885849,"Arlington,TX",2022-11-07 21:00:00,3,na,88,15.3,3.2,na,na
37.95075,-121.26897,"Stockton,CA",2021-11-05 10:00:00,42,2.4,55,6.5,16.8,15,42
na,na,na,na,na,na,na,na,na,na,na
33.433349,-82.022217,"Augusta,GA",2022-11-07 20:00:00,45,na,83,na,na,19,45
43.618889,-116.213611,"Boise,ID",2022-10-26 07:00:00,8,6.9,66.6,17.6,48.1,8,5
34.25238,-119.14318,"Oxnard,CA",2022-11-07 18:00:00,24,na,90,1.9,24.1,5,13
41.4428,-75.6231,"Scranton,PA",2022-11-07 20:00:00,15,3.4,38.5,4.7,28.9,14,15
37.64217,-120.99421,"Modesto,CA",2022-11-07 18:00:00,26,1.2,50,na,25.6,15,5
na,na,na,na,na,na,na,na,na,na,na
44.044306,-79.48325,"Aurora,CO",2022-11-07 20:00:00,17,na,72,2.8,12.8,na,17
41.095938,-80.658467,"Youngstown,OH",2021-10-14 12:00:00,48,na,68,na,na,na,48
35.041401,-78.953102,"Fayetteville,AR",2022-11-07 21:00:00,5,na,78,na,na,2,5
33.83061,-117.9385,"Anaheim,CA",2022-11-07 18:00:00,0,4.5,94,12.3,0.1,1,3
na,na,na,na,na,na,na,na,na,na,na
34.51096,-117.32555,"Victorville,CA",2022-11-07 18:00:00,19,na,75.5,3.8,19.2,9,9
34.66959,-118.13068,"Lancaster,CA",2022-11-07 18:00:00,27,na,62,1.9,27.2,4,9
36.1092,-79.8011,"Greensboro,NC",2022-11-07 20:00:00,11,na,87.5,na,na,11,9
27.8118142,-97.4657005,"Corpus Christi,TX",2022-11-07 19:00:00,19,na,97,na,na,na,19
41.094965,-85.101816,"Fort Wayne,IN",2021-09-30 08:00:00,27,na,47,na,15.2,na,27
33.83061,-117.9385,"Santa Ana,CA",2022-11-07 18:00:00,0,4.5,94,12.3,0.1,1,3
43.0125274,-83.6874562,"Flint,MI",2022-11-07 21:00:00,34,na,64,na,0.8,na,34
35.041401,-78.953102,"Fayetteville,NC",2022-11-07 21:00:00,5,na,78,na,na,2,5
32.329111,-90.182722,"Jackson,MS",2022-11-07 20:00:00,45,1.2,84.5,na,14.5,17,45
14.307201385498,121.11041259766,"Santa Rosa,CA",2022-10-06 10:00:00,8,na,67,10.6,8.2,na,na
42.76138,-84.562867,"Lansing,MI",2022-11-05 02:00:00,52,na,55,1,32.8,na,52
18.428388,-66.141657,"San Juan,PR",2022-11-07 21:00:00,-,na,92.2,na,na,na,43
38.065,-84.5,"Lexington,KY",2022-11-07 21:00:00,16,na,35,na,na,na,16
na,na,na,na,na,na,na,na,na,na,na
36.0487,-115.05294,"Henderson,NV",2021-05-18 05:00:00,24,0.1,25.7,8.1,15.5,24,24
34.6917,-86.591698,"Huntsville,AL",2022-11-07 20:00:00,35,na,93,na,na,na,35
30.7697,-88.0875,"Mobile,AL",2022-11-07 20:00:00,29,na,69.2,na,na,na,29
40.571281,-105.079974,"Fort Collins,CO",2022-11-07 19:00:00,50,1.9,66,na,8,32,50
35.6075,-82.5833,"Asheville,NC",2022-11-07 21:00:00,13,na,86.5,na,na,na,13
34.38337,-118.52839,"Santa Clarita,CA",2022-11-07 18:00:00,22,0.1,91,4.6,21.6,na,14
44.9594,-93.0356,"St. Paul,MN",2022-11-07 20:00:00,21,na,60,na,na,na,21
38.0112,-121.813,"Antioch,CA",2020-11-05 11:00:00,27,na,42.2,na,na,na,27
28.028888888889,-81.972222222222,"Lakeland,FL",2022-11-07 20:00:00,24,2.5,89.4,1,13,20,24
40.28308,-74.74264,"Trenton,NJ",2022-11-07 21:00:00,35,na,35,0.1,27.2,na,35
40.812558,-96.675733,"Lincoln,NE",2022-11-07 20:00:00,9,na,39.6,na,na,na,9
37.256069,-93.299692,"Springfield,MO",2022-11-07 20:00:00,38,na,58,na,31.2,18,38
61.1744921,-149.8344237,"Anchorage,AK",2022-11-07 15:00:00,16,na,69.6,na,na,16,na
na,na,na,na,na,na,na,na,na,na,na
55.614578,-4.666786,"Irvine,CA",2022-11-08 00:00:00,6,na,86,0.9,na,6,23
41.530011,-90.587611,"Davenport,IA",2022-11-07 19:00:00,36,0.1,69.5,na,19.2,36,32
42.267002,-89.08917,"Rockford,IL",2022-11-07 20:00:00,37,na,52,na,na,na,37
40.72102,-74.1928,"Newark,NJ",2022-09-26 06:00:00,26,1.2,92.5,15.8,6.4,na,26
41.6967,-86.2147,"South Bend,IN",2022-11-07 21:00:00,35,na,82.5,1.1,18.4,na,35
32.53626,-93.74891,"Shreveport,LA",2022-11-07 20:00:00,55,na,83,na,6.4,15,55
na,na,na,na,na,na,na,na,na,na,na
32.090457,-81.130378,"Savannah,GA",2022-11-07 20:00:00,39,na,77,na,na,23,39
na,na,na,na,na,na,na,na,na,na,na
32.7101770008584,-117.142665,"Chula Vista,CA",2022-11-07 18:00:00,18,na,74.5,na,18.4,6,10
44.0263,-123.08377,"Eugene,OR",2022-11-07 18:00:00,9,na,80,na,na,na,9
40.800797,-81.372853,"Canton,OH",2022-11-07 21:00:00,26,na,52,na,na,na,26
33.58553,-101.78698,"Lubbock,TX",2022-11-07 19:00:00,7,na,73.6,na,na,na,7
51.4529847075166,-0.944461432664066,"Reading,PA",2022-11-07 23:00:00,24,na,90.6,5.3,23.6,11,9
na,na,na,na,na,na,na,na,na,na,na
44.943114,-123.005934,"Salem,OR",2022-11-07 18:00:00,7,na,99,na,na,na,7
27.785833333333,-82.74,"St. Petersburg,FL",2022-09-27 06:00:00,7,na,95,2.8,6.5,18,39
30.2175,-92.051389,"Lafayette,LA",2022-11-07 20:00:00,36,na,88,na,6.4,11,36
na,na,na,na,na,na,na,na,na,na,na
40.7127837,-74.0059413,"Jersey City,NJ",2022-11-07 21:00:00,18,4.8,21.5,16.6,98.1,na,18
37.936,-122.0262,"Concord,NC",2022-11-07 18:00:00,25,2.4,73,1.1,24.8,na,9
40.002734,-82.994404,"Columbus,GA",2020-05-25 10:00:00,-,na,56.3,3.8,na,na,na
na,na,na,na,na,na,na,na,na,na,na
na,na,na,na,na,na,na,na,na,na,na
-41.162,147.515,"Scottsdale,AZ",2022-11-08 12:00:00,5,na,43,na,na,3,5
na,na,na,na,na,na,na,na,na,na,na
