aqi_date_loc,time_updated,o3,pm10,pm25
"4,McAllen,TX",2022-11-07 20:00:00,11,7,18
"5,McAllen,TX",2022-11-07 20:00:00,13,4,11
"1,Albuquerque,NM",2022-11-07 18:00:00,9,33,50
"2,Albuquerque,NM",2022-11-07 18:00:00,12,21,30
"3,Albuquerque,NM",2022-11-07 18:00:00,15,7,7
"4,Albuquerque,NM",2022-11-07 18:00:00,14,16,19
"5,Albuquerque,NM",2022-11-07 18:00:00,15,20,25
"1,Birmingham,AL",2021-10-01 15:00:00,23,8,13
"2,Birmingham,AL",2021-10-01 15:00:00,25,7,12
"3,Birmingham,AL",2021-10-01 15:00:00,21,10,17
"4,Birmingham,AL",2021-10-01 15:00:00,25,6,15
"1,Sarasota,FL",2022-11-07 20:00:00,17,14,30
"2,Sarasota,FL",2022-11-07 20:00:00,17,12,25
"3,Sarasota,FL",2022-11-07 20:00:00,15,5,13
"4,Sarasota,FL",2022-11-07 20:00:00,16,5,16
"5,Sarasota,FL",2022-11-07 20:00:00,16,13,24
"1,Dayton,OH",2022-11-07 21:00:00,11,5,14
"2,Dayton,OH",2022-11-07 21:00:00,9,7,20
"3,Dayton,OH",2022-11-07 21:00:00,10,12,35
"4,Dayton,OH",2022-11-07 21:00:00,7,10,28
"5,Dayton,OH",2022-11-07 21:00:00,12,3,9
"1,Rochester,NY",2022-11-07 21:00:00,10,4,13
"2,Rochester,NY",2022-11-07 21:00:00,13,3,9
"3,Rochester,NY",2022-11-07 21:00:00,15,8,25
"4,Rochester,NY",2022-11-07 21:00:00,12,7,20
"5,Rochester,NY",2022-11-07 21:00:00,8,3,12
"1,Fresno,CA",2022-11-07 18:00:00,12,3,8
"2,Fresno,CA",2022-11-07 18:00:00,6,9,24
"3,Fresno,CA",2022-11-07 18:00:00,3,16,50
"4,Fresno,CA",2022-11-07 18:00:00,3,22,66
"5,Fresno,CA",2022-11-07 18:00:00,4,17,57
na,na,na,na,na
"1,Tulsa,OK",2022-11-07 19:00:00,7,7,26
"2,Tulsa,OK",2022-11-07 19:00:00,9,11,42
"3,Tulsa,OK",2022-11-07 19:00:00,12,11,42
"4,Tulsa,OK",2022-11-07 19:00:00,14,1,4
"5,Tulsa,OK",2022-11-07 19:00:00,17,1,3
"1,Cape Coral,FL",2022-09-28 08:00:00,16,11,19
"2,Cape Coral,FL",2022-09-28 08:00:00,14,9,14
"3,Cape Coral,FL",2022-09-28 08:00:00,11,11,28
"4,Cape Coral,FL",2022-09-28 08:00:00,10,13,41
"1,Concord,CA",2022-11-07 18:00:00,10,4,11
"2,Concord,CA",2022-11-07 18:00:00,3,19,48
"3,Concord,CA",2022-11-07 18:00:00,3,24,64
"4,Concord,CA",2022-11-07 18:00:00,5,15,46
"5,Concord,CA",2022-11-07 18:00:00,6,15,38
"1,Colorado Springs,CO",2022-11-07 19:00:00,10,12,25
"2,Colorado Springs,CO",2022-11-07 19:00:00,12,9,14
"3,Colorado Springs,CO",2022-11-07 19:00:00,12,2,6
"4,Colorado Springs,CO",2022-11-07 19:00:00,9,8,23
"5,Colorado Springs,CO",2022-11-07 19:00:00,12,6,17
"1,Charleston,SC",2022-07-06 13:00:00,12,10,28
