avg_coord,x_y_grid_pt,city_state,current_temp,wind,description,avg_dni,avg_ghi,avg_lat_tilt
-21.8383,"90, 66","Wilmington,NC",58.0,7 to 14 mph,Mostly Clear,NaN,NaN,NaN
-26.95965,"82, 33","Montgomery,AL",65.0,5 mph,Mostly Clear,NaN,NaN,NaN
-39.21810000000001,"169, 49","Gilbert,AZ",50.0,5 mph,Mostly Clear,NaN,NaN,NaN
-39.326,"153, 63","Glendale,AZ",53.0,5 mph,Mostly Clear,NaN,NaN,NaN
-39.401050000000005,"124, 102","North Las Vegas,NV",52.0,15 mph,Mostly Cloudy,NaN,NaN,NaN
-19.812300000000004,"90, 43","Chesapeake,VA",52.0,8 to 17 mph,Clear,NaN,NaN,NaN
-14.34385,"100, 63","Barnstable,MA",42.0,18 mph,Clear,NaN,NaN,NaN
-19.68225,"90, 53","Norfolk,VA",52.0,13 to 24 mph,Clear,NaN,NaN,NaN
-36.4877,"123, 125","Kennewick,WA",31.0,10 mph,Isolated Rain Showers then Mostly Cloudy,NaN,NaN,NaN
-31.86025,"94, 109","Garland,TX",67.0,5 mph,Mostly Cloudy,NaN,NaN,NaN
-32.0559,"82, 107","Irving,TX",67.0,5 mph,Slight Chance Showers And Thunderstorms then Mostly Cloudy,NaN,NaN,NaN
-41.49965,"65, 79","Visalia,CA",45.0,5 to 10 mph,Chance Light Rain,NaN,NaN,NaN
-17.536499999999997,"77, 53","Atlantic City,NJ",49.0,15 to 20 mph,Mostly Clear,NaN,NaN,NaN
-14.37095,"42, 9","Nashua,NH",40.0,10 mph,Clear,NaN,NaN,NaN
-18.3832,"112, 24","York,PA",39.0,6 mph,Mostly Clear,NaN,NaN,NaN
-39.4689,"148, 55","Avondale,AZ",51.0,5 mph,Mostly Clear,NaN,NaN,NaN
-35.72925,"78, 8","Brownsville,TX",71.0,6 mph,Mostly Clear,NaN,NaN,NaN
-29.321600000000004,"105, 111","Gulfport,MS",65.0,0 to 5 mph,Mostly Clear then Patchy Fog,NaN,NaN,NaN
-22.0556,"66, 19","Appleton,WI",34.0,7 mph,Mostly Cloudy,NaN,NaN,NaN
-37.5843,"111, 67","Bremerton,WA",30.0,8 mph,Rain Showers,NaN,NaN,NaN
-41.57645,"61, 76","San Bernardino,CA",50.0,10 mph,Rain Showers Likely then Light Rain,NaN,NaN,NaN
-32.8554,"30, 133","College Station,TX",66.0,5 mph,Mostly Clear then Patchy Fog,NaN,NaN,NaN
-21.65665,"45, 15","Kalamazoo,MI",32.0,6 mph,Partly Cloudy,NaN,NaN,NaN
-42.34205,"132, 54","Thousand Oaks,CA",52.0,5 to 15 mph,Rain Showers then Rain,NaN,NaN,NaN
-21.33975,"73, 68","Roanoke,VA",46.0,6 mph,Mostly Clear,NaN,NaN,NaN
-41.68155,"55, 75","Fontana,CA",51.0,5 to 10 mph,Rain Showers Likely then Light Rain Likely,NaN,NaN,NaN
-41.64005,"63, 66","Moreno Valley,CA",51.0,10 mph,Rain Showers Likely then Light Rain Likely,NaN,NaN,NaN
-27.569900000000004,"84, 59","North Port,FL",68.0,7 mph,Partly Cloudy,NaN,NaN,NaN
-24.982,"98, 55","Fargo,ND",33.0,8 to 20 mph,Mostly Cloudy,NaN,NaN,NaN
-33.31615000000001,"47, 24","Amarillo,TX",52.0,15 mph,Mostly Cloudy then Patchy Fog,NaN,NaN,NaN
-13.2971,"75, 59","Portland,ME",39.0,15 mph,Clear,NaN,NaN,NaN
-42.64585,"104, 70","Santa Barbara,CA",53.0,5 to 15 mph,Rain Showers then Rain,NaN,NaN,NaN
