lat_lon,latitude,longitude,city_state,time_updated,AQI,CO,H,NO2,Ozone,pm10,pm25
"47.3768866,8.541694",47.3768866,8.541694,"Zurich,KS",11/8/2022 10:00,12,na,87,4.6,12.2,12,na
"40.002734,-82.994404",40.002734,-82.994404,"Franklin,MO",5/25/2020 10:00,-,na,56.3,3.8,na,na,na
"49.8475,24.0155",49.8475,24.0155,"Leopolis,WI",6/21/2022 20:00,10,na,93,na,na,9,10
"45.496640911,-122.60287735",45.49664091,-122.6028774,"Portland,CO",11/8/2022 1:00,7,1.2,96,9.9,6.8,na,9
"25.421472222222,-100.99686111111",25.42147222,-100.9968611,"Saltillo,IN",8/6/2022 13:00,63,na,29.5,3,33.7,27,63
"26.2262097,-98.291069",26.2262097,-98.291069,"Alton,KS",11/8/2022 2:00,21,na,91,na,16,na,21
"38.1935,-85.7121",38.1935,-85.7121,"Lone Oak,GA",11/8/2022 4:00,23,2.3,32,8.8,na,14,23
"43.486917,-79.702278",43.486917,-79.702278,"Oakville,CA",11/8/2022 4:00,10,na,80,2.8,9.6,na,9
"44.9594,-93.0356",44.9594,-93.0356,"Woodbury,KY",11/8/2022 3:00,5,na,64,na,na,na,5
"40.72102,-74.1928",40.72102,-74.1928,"Newark,MO",9/26/2022 6:00,26,1.2,92.5,15.8,6.4,na,26
"45.470191,-122.816411",45.470191,-122.816411,"Bethany,IN",11/8/2022 1:00,27,na,97,na,na,na,27
"40.002734,-82.994404",40.002734,-82.994404,"Franklin,AZ",5/25/2020 10:00,-,na,56.3,3.8,na,na,na
"42.93257,-87.93434",42.93257,-87.93434,"Greenfield,OK",11/8/2022 3:00,18,1.5,65,1.7,21.3,8,18
"37.256069,-93.299692",37.256069,-93.299692,"Springfield,WI",11/8/2022 3:00,16,na,63,na,31.2,16,2
"47.38614,-122.23195",47.38614,-122.23195,"Auburn,WV",11/8/2022 3:00,17,na,93,na,na,na,17
"40.85355,-73.9661",40.85355,-73.9661,"Dumont,MN",11/8/2022 4:00,14,1.2,65,13.9,1,na,14
"38.53455,-121.7734",38.53455,-121.7734,"Davis,SD",11/8/2022 1:00,16,na,87,3.2,16,na,2
"42.3584308,-71.0597732",42.3584308,-71.0597732,"Revere,MN",11/8/2022 3:00,22,2.3,45,5.6,21.6,na,21
"40.246992,-76.846988",40.246992,-76.846988,"Harrisburg,NE",11/8/2022 3:00,27,na,46,1.9,20,19,27
"42.930521,-72.272332",42.930521,-72.272332,"Keene,KY",11/8/2022 4:00,15,na,62.6,na,14.5,na,13
"5.384388,100.3896169",5.384388,100.3896169,"Georgetown,MD",11/8/2022 17:00,51,na,88,na,na,na,na
