aqi_key,lat_lon,latitude,longitude,city_state,time_updated,AQI,CO,H,NO2,Ozone,pm10,pm25
172,"47.029396,-122.821548",47.029396,-122.821548,"Olympia,WA",11/7/2022 20:00,9,na,96,na,20,na,9
173,"52.614193,1.301976",52.614193,1.301976,"Norwich,CT",11/8/2022 2:00,30,na,92,1.1,28,12,30
174,"33.411111111111,-111.93472222222",33.41111111,-111.9347222,"Tempe,AZ",11/7/2022 19:00,51,na,39.5,na,1.6,51,50
175,"36.14187,-115.07874",36.14187,-115.07874,"Sunrise Manor,NV",5/18/2021 5:00,21,0.1,30,8.1,13,19,21
176,"36.69426,-121.62327",36.69426,-121.62327,"Salinas,CA",11/7/2022 18:00,27,1.2,58,2.8,27.2,na,9
177,"41.5503,-73.0442",41.5503,-73.0442,"Waterbury,CT",11/7/2022 21:00,19,na,10,na,na,na,19
178,"36.5144,-87.3278",36.5144,-87.3278,"Clarksville,TN",11/7/2022 20:00,13,na,53,na,na,na,13
179,"41.9767,-91.6878",41.9767,-91.6878,"Cedar Rapids,IA",11/7/2022 19:00,23,na,64,na,na,na,23
180,"43.54792,-96.700768",43.54792,-96.700768,"Sioux Falls,SD",3/9/2021 11:00,37,na,41,na,36.8,na,na
181,"34.10367,-117.62906",34.10367,-117.62906,"Ontario,CA",11/7/2022 18:00,24,1.6,84,6.5,0.1,4,24
182,"39.565601,-77.721901",39.565601,-77.721901,"Hagerstown,MD",11/7/2022 12:00,-,na,35,na,20.8,na,9
183,"42.1428,-80.0372",42.1428,-80.0372,"Erie,PA",11/7/2022 20:00,28,4.5,64,1,24.1,26,28
184,"49.26029,-123.077811",49.26029,-123.077811,"Vancouver,WA",11/7/2022 17:00,22,0.1,66,5.6,7.6,na,22
185,"43.58031,-116.562676",43.58031,-116.562676,"Nampa,ID",11/7/2022 19:00,18,2.4,57.5,17.6,55.8,18,17
186,"34.955601,-81.924797",34.955601,-81.924797,"Spartanburg,SC",11/7/2022 21:00,45,na,94,na,na,na,45
187,"41.463071,-82.114261",41.463071,-82.114261,"Lorain,OH",9/27/2021 12:00,28,na,49,na,na,na,28
188,"37.10373,-76.38701",37.10373,-76.38701,"Newport News,VA",11/7/2022 21:00,30,0.1,82,1.7,11.4,13,30
189,"36.98401,-121.99097",36.98401,-121.99097,"Santa Cruz,CA",11/7/2022 18:00,18,na,89.5,na,17.6,na,9
190,"41.4014,-73.4447",41.4014,-73.4447,"Danbury,CT",11/7/2022 21:00,14,na,33,na,na,10,14
191,"33.21701,-117.39616",33.21701,-117.39616,"Oceanside,CA",11/7/2022 18:00,21,na,90,500,20.8,6,9
192,"26.053888888889,-80.256944444444",26.05388889,-80.25694444,"Pembroke Pines,FL",11/7/2022 21:00,35,1.9,88,8.3,11,19,35
193,"38.10251,-122.238",38.10251,-122.238,"Vallejo,CA",11/3/2022 20:00,38,5.6,72,23.6,3.2,na,38
194,"42.33155,-122.880266",42.33155,-122.880266,"Medford,OR",11/7/2022 0:00,-,na,87,na,na,na,9
195,"35.8652,-78.8197",35.8652,-78.8197,"Cary,NC",11/7/2022 21:00,25,3.4,82,6.9,na,na,25
196,"48.054315,-122.171529",48.054315,-122.171529,"Marysville,WA",11/7/2022 20:00,50,na,97,na,na,na,50
